Date,Open,High,Low,Close,Adj Close,Volume
2015-12-29,0.006342,0.006353,0.006245,0.006264,0.006264,312612
2015-12-30,0.006266,0.006271,0.006170,0.006182,0.006182,280345
2015-12-31,0.006184,0.006184,0.006039,0.006040,0.006040,374355
2016-01-01,0.006040,0.006044,0.005933,0.005955,0.005955,211767
2016-01-02,0.005957,0.006079,0.005933,0.006065,0.006065,278539
2016-01-03,0.006066,0.006070,0.005988,0.006017,0.006017,291723
2016-01-04,0.006019,0.006059,0.005953,0.005958,0.005958,310820
2016-01-05,0.005954,0.006044,0.005953,0.006044,0.006044,381554
2016-01-06,0.006044,0.006044,0.005983,0.006003,0.006003,316235
2016-01-07,0.005998,0.006090,0.005998,0.006039,0.006039,426048
2016-01-08,0.006040,0.006055,0.005905,0.005933,0.005933,288641
2016-01-09,0.005937,0.006005,0.005933,0.005982,0.005982,310336
2016-01-10,0.005982,0.005999,0.005931,0.005956,0.005956,195011
2016-01-11,0.005963,0.005970,0.005892,0.005895,0.005895,216286
2016-01-12,0.005892,0.005897,0.005854,0.005854,0.005854,310414
2016-01-13,0.005836,0.005836,0.005753,0.005794,0.005794,497284
2016-01-14,0.005795,0.005802,0.005526,0.005529,0.005529,849371
2016-01-15,0.005528,0.005528,0.005229,0.005229,0.005229,441054
2016-01-16,0.005221,0.005274,0.005072,0.005112,0.005112,304209
2016-01-17,0.005110,0.005285,0.005011,0.005266,0.005266,473175
2016-01-18,0.005270,0.005416,0.005268,0.005326,0.005326,514295
2016-01-19,0.005330,0.005330,0.005262,0.005271,0.005271,226472
2016-01-20,0.005271,0.005394,0.005178,0.005381,0.005381,722260
2016-01-21,0.005370,0.005385,0.005305,0.005313,0.005313,344950
2016-01-22,0.005314,0.005314,0.005093,0.005114,0.005114,355595
2016-01-23,0.005109,0.005192,0.005109,0.005120,0.005120,310286
2016-01-24,0.005121,0.005237,0.005119,0.005219,0.005219,341789
2016-01-25,0.005218,0.005218,0.005064,0.005135,0.005135,412095
2016-01-26,0.005138,0.005477,0.005125,0.005419,0.005419,904781
2016-01-27,0.005408,0.006571,0.005408,0.006506,0.006506,2544770
2016-01-28,0.006507,0.006507,0.006090,0.006226,0.006226,2203940
2016-01-29,0.006228,0.006906,0.005922,0.006840,0.006840,2895430
2016-01-30,0.006824,0.007001,0.006612,0.006634,0.006634,1233320
2016-01-31,0.006631,0.006638,0.006359,0.006399,0.006399,977856
2016-02-01,0.006398,0.006551,0.006366,0.006542,0.006542,830380
2016-02-02,0.006545,0.006791,0.006545,0.006768,0.006768,809854
2016-02-03,0.006771,0.006906,0.006760,0.006883,0.006883,803366
2016-02-04,0.006882,0.006990,0.006856,0.006970,0.006970,1174600
2016-02-05,0.006965,0.007272,0.006958,0.007262,0.007262,1186010
2016-02-06,0.007273,0.007922,0.007247,0.007922,0.007922,1859040
2016-02-07,0.007924,0.008666,0.007924,0.008338,0.008338,2460140
2016-02-08,0.008375,0.008551,0.007959,0.007991,0.007991,1048160
2016-02-09,0.007999,0.008020,0.007736,0.007815,0.007815,866765
2016-02-10,0.007827,0.007943,0.007820,0.007853,0.007853,668185
2016-02-11,0.007857,0.007897,0.007770,0.007815,0.007815,565522
2016-02-12,0.007822,0.007979,0.007730,0.007979,0.007979,816579
2016-02-13,0.007961,0.008315,0.007937,0.008257,0.008257,684444
2016-02-14,0.008263,0.008639,0.008263,0.008590,0.008590,1144830
2016-02-15,0.008593,0.008656,0.008559,0.008631,0.008631,734275
2016-02-16,0.008631,0.008660,0.008434,0.008451,0.008451,1012220
2016-02-17,0.008456,0.008461,0.008113,0.008138,0.008138,1556320
2016-02-18,0.008135,0.008135,0.007897,0.007995,0.007995,854073
2016-02-19,0.007994,0.008252,0.007994,0.008245,0.008245,710808
2016-02-20,0.008253,0.008375,0.008220,0.008253,0.008253,515312
2016-02-21,0.008246,0.008282,0.008067,0.008100,0.008100,472569
2016-02-22,0.008100,0.008100,0.008040,0.008050,0.008050,607198
2016-02-23,0.008055,0.008070,0.007954,0.007970,0.007970,807140
2016-02-24,0.007971,0.008077,0.007951,0.008076,0.008076,473097
2016-02-25,0.008063,0.008076,0.008015,0.008027,0.008027,825297
2016-02-26,0.008025,0.008058,0.008014,0.008058,0.008058,579986
2016-02-27,0.008063,0.008077,0.007972,0.007972,0.007972,417576
2016-02-28,0.007977,0.007987,0.007854,0.007889,0.007889,570935
2016-02-29,0.007895,0.007938,0.007823,0.007923,0.007923,689215
2016-03-01,0.007923,0.008020,0.007923,0.008006,0.008006,738772
2016-03-02,0.008005,0.008055,0.007980,0.008030,0.008030,409388
2016-03-03,0.008028,0.008215,0.007993,0.008162,0.008162,685240
2016-03-04,0.008036,0.008220,0.008033,0.008096,0.008096,567974
2016-03-05,0.008117,0.008176,0.007824,0.007878,0.007878,1148690
2016-03-06,0.007857,0.007910,0.007801,0.007860,0.007860,569577
2016-03-07,0.007835,0.007979,0.007831,0.007918,0.007918,587059
2016-03-08,0.007911,0.007978,0.007895,0.007949,0.007949,655974
2016-03-09,0.007951,0.008094,0.007941,0.008056,0.008056,396527
2016-03-10,0.008051,0.008206,0.008045,0.008190,0.008190,1348660
2016-03-11,0.008183,0.008920,0.008183,0.008803,0.008803,2831220
2016-03-12,0.008801,0.008993,0.008611,0.008700,0.008700,1536850
2016-03-13,0.008698,0.008703,0.008579,0.008635,0.008635,860868
2016-03-14,0.008624,0.008628,0.008472,0.008479,0.008479,846750
2016-03-15,0.008478,0.008495,0.008035,0.008186,0.008186,284572
2016-03-16,0.008185,0.008325,0.008115,0.008178,0.008178,219047
2016-03-17,0.008182,0.008401,0.008162,0.008287,0.008287,176475
2016-03-18,0.008284,0.008356,0.008013,0.008119,0.008119,229313
2016-03-19,0.008124,0.008160,0.007894,0.008016,0.008016,164010
2016-03-20,0.008015,0.008046,0.007872,0.007960,0.007960,115984
2016-03-21,0.007956,0.008079,0.007880,0.008047,0.008047,79784
2016-03-22,0.008028,0.008215,0.008025,0.008110,0.008110,604214
2016-03-23,0.008109,0.008335,0.008106,0.008332,0.008332,1022850
2016-03-24,0.008335,0.008345,0.008229,0.008230,0.008230,965196
2016-03-25,0.008234,0.008272,0.008191,0.008191,0.008191,753671
2016-03-26,0.008190,0.008197,0.008053,0.008066,0.008066,309664
2016-03-27,0.008062,0.008081,0.008005,0.008029,0.008029,418222
2016-03-28,0.008025,0.008032,0.007467,0.007564,0.007564,2114600
2016-03-29,0.007573,0.007605,0.007397,0.007566,0.007566,1116900
2016-03-30,0.007568,0.007595,0.007327,0.007332,0.007332,1210630
2016-03-31,0.007332,0.007392,0.007274,0.007391,0.007391,1036210
2016-04-01,0.007391,0.007480,0.007391,0.007418,0.007418,827273
2016-04-02,0.007418,0.007505,0.007410,0.007501,0.007501,390399
2016-04-03,0.007504,0.007533,0.007492,0.007503,0.007503,250112
2016-04-04,0.007502,0.007515,0.007483,0.007491,0.007491,300359
2016-04-05,0.007488,0.007516,0.007451,0.007474,0.007474,464037
2016-04-06,0.007467,0.007468,0.007296,0.007296,0.007296,796790
2016-04-07,0.007308,0.007309,0.006875,0.006875,0.006875,1450030
2016-04-08,0.006875,0.006875,0.006657,0.006671,0.006671,859428
2016-04-09,0.006674,0.006679,0.006287,0.006288,0.006288,1032700
2016-04-10,0.006289,0.006295,0.005924,0.005937,0.005937,774554
2016-04-11,0.005937,0.006071,0.005883,0.006048,0.006048,1871520
2016-04-12,0.006048,0.006082,0.005873,0.005885,0.005885,1085670
2016-04-13,0.005884,0.005884,0.005685,0.005695,0.005695,1384420
2016-04-14,0.005697,0.006352,0.005693,0.006289,0.006289,192592
2016-04-15,0.006303,0.006473,0.006229,0.006424,0.006424,156069
2016-04-16,0.006421,0.006510,0.006276,0.006510,0.006510,70487
2016-04-17,0.006499,0.006605,0.006488,0.006499,0.006499,54782
2016-04-18,0.006503,0.007194,0.006503,0.006987,0.006987,1066190
2016-04-19,0.006987,0.007157,0.006982,0.007118,0.007118,426257
2016-04-20,0.007117,0.007259,0.007019,0.007244,0.007244,1301350
2016-04-21,0.007265,0.007536,0.007265,0.007433,0.007433,1011580
2016-04-22,0.007439,0.007439,0.007275,0.007284,0.007284,955674
2016-04-23,0.007282,0.007365,0.007282,0.007346,0.007346,345650
2016-04-24,0.007344,0.007350,0.007223,0.007251,0.007251,472274
2016-04-25,0.007250,0.007308,0.007234,0.007283,0.007283,605219
2016-04-26,0.007279,0.007293,0.007095,0.007095,0.007095,884879
2016-04-27,0.007094,0.007094,0.006725,0.006725,0.006725,797081
2016-04-28,0.006720,0.006724,0.006666,0.006686,0.006686,752872
2016-04-29,0.006689,0.006759,0.006671,0.006759,0.006759,538253
2016-04-30,0.006761,0.006849,0.006761,0.006812,0.006812,406123
2016-05-01,0.006812,0.006819,0.006789,0.006791,0.006791,241733
2016-05-02,0.006791,0.006803,0.006712,0.006714,0.006714,585826
2016-05-03,0.006716,0.006717,0.006555,0.006560,0.006560,329125
2016-05-04,0.006558,0.006560,0.006307,0.006323,0.006323,563556
2016-05-05,0.006323,0.006324,0.006187,0.006193,0.006193,509188
2016-05-06,0.006198,0.006400,0.006188,0.006399,0.006399,680334
2016-05-07,0.006395,0.006496,0.006395,0.006490,0.006490,351537
2016-05-08,0.006490,0.006492,0.006403,0.006404,0.006404,389914
2016-05-09,0.006402,0.006407,0.006386,0.006399,0.006399,351209
2016-05-10,0.006399,0.006399,0.006270,0.006272,0.006272,404295
2016-05-11,0.006272,0.006277,0.006186,0.006189,0.006189,476708
2016-05-12,0.006188,0.006188,0.006153,0.006167,0.006167,362896
2016-05-13,0.006167,0.006190,0.006105,0.006109,0.006109,478095
2016-05-14,0.006111,0.006116,0.006033,0.006073,0.006073,274107
2016-05-15,0.006072,0.006075,0.006006,0.006061,0.006061,304621
2016-05-16,0.006061,0.006070,0.006018,0.006022,0.006022,389621
2016-05-17,0.006022,0.006060,0.006022,0.006023,0.006023,319996
2016-05-18,0.006022,0.006052,0.006016,0.006028,0.006028,701256
2016-05-19,0.006025,0.006042,0.005988,0.006032,0.006032,797005
2016-05-20,0.006028,0.006084,0.006020,0.006084,0.006084,549413
2016-05-21,0.006090,0.006098,0.005988,0.005990,0.005990,217884
2016-05-22,0.005989,0.005992,0.005933,0.005936,0.005936,273758
2016-05-23,0.005935,0.005936,0.005905,0.005909,0.005909,507430
2016-05-24,0.005911,0.005964,0.005898,0.005962,0.005962,471659
2016-05-25,0.005962,0.005965,0.005754,0.005756,0.005756,517124
2016-05-26,0.005757,0.005757,0.005641,0.005669,0.005669,678744
2016-05-27,0.005670,0.005706,0.005650,0.005679,0.005679,1073760
2016-05-28,0.005676,0.005738,0.005659,0.005682,0.005682,889921
2016-05-29,0.005682,0.005729,0.005614,0.005662,0.005662,829452
2016-05-30,0.005664,0.005771,0.005645,0.005748,0.005748,476095
2016-05-31,0.005746,0.005758,0.005689,0.005706,0.005706,847636
2016-06-01,0.005701,0.005812,0.005690,0.005809,0.005809,1018470
2016-06-02,0.005809,0.005815,0.005757,0.005766,0.005766,611429
2016-06-03,0.005766,0.005870,0.005741,0.005827,0.005827,437813
2016-06-04,0.005829,0.005882,0.005755,0.005780,0.005780,617159
2016-06-05,0.005779,0.005820,0.005779,0.005796,0.005796,544201
2016-06-06,0.005795,0.005800,0.005751,0.005769,0.005769,690096
2016-06-07,0.005764,0.005787,0.005753,0.005780,0.005780,783409
2016-06-08,0.005780,0.005785,0.005753,0.005770,0.005770,754945
2016-06-09,0.005769,0.005789,0.005750,0.005788,0.005788,520793
2016-06-10,0.005785,0.005788,0.005732,0.005736,0.005736,526917
2016-06-11,0.005737,0.005766,0.005722,0.005766,0.005766,398757
2016-06-12,0.005766,0.005885,0.005747,0.005852,0.005852,1133540
2016-06-13,0.005852,0.005856,0.005765,0.005824,0.005824,1537720
2016-06-14,0.005828,0.007577,0.005798,0.007105,0.007105,9904250
2016-06-15,0.007093,0.007166,0.006871,0.006887,0.006887,3269290
2016-06-16,0.006889,0.006918,0.006624,0.006676,0.006676,3072370
2016-06-17,0.006681,0.006770,0.006637,0.006693,0.006693,2143830
2016-06-18,0.006693,0.006705,0.006529,0.006604,0.006604,1190870
2016-06-19,0.006585,0.006980,0.006561,0.006813,0.006813,2413110
2016-06-20,0.006818,0.006893,0.006626,0.006626,0.006626,1710410
2016-06-21,0.006630,0.006635,0.005976,0.006172,0.006172,3258040
2016-06-22,0.006179,0.006790,0.006084,0.006495,0.006495,5052140
2016-06-23,0.006519,0.006638,0.006253,0.006381,0.006381,3207640
2016-06-24,0.006380,0.006561,0.006348,0.006434,0.006434,2408230
2016-06-25,0.006427,0.006536,0.006383,0.006414,0.006414,1175110
2016-06-26,0.006409,0.006479,0.006354,0.006400,0.006400,1236360
2016-06-27,0.006402,0.006429,0.006364,0.006398,0.006398,1136160
2016-06-28,0.006407,0.006829,0.006407,0.006773,0.006773,3149120
2016-06-29,0.006775,0.006936,0.006670,0.006777,0.006777,2063960
2016-06-30,0.006778,0.006956,0.006640,0.006657,0.006657,1046580
2016-07-01,0.006651,0.006837,0.006633,0.006787,0.006787,993538
2016-07-02,0.006788,0.006809,0.006691,0.006699,0.006699,503769
2016-07-03,0.006714,0.006734,0.006582,0.006607,0.006607,536311
2016-07-04,0.006621,0.008447,0.006599,0.007028,0.007028,875970
2016-07-05,0.007029,0.007064,0.006659,0.006699,0.006699,598865
2016-07-06,0.006716,0.006743,0.006687,0.006691,0.006691,600195
2016-07-07,0.006689,0.006699,0.006495,0.006598,0.006598,789693
2016-07-08,0.006609,0.006715,0.006563,0.006715,0.006715,604076
2016-07-09,0.006717,0.006718,0.006624,0.006679,0.006679,577447
2016-07-10,0.006672,0.006676,0.006621,0.006674,0.006674,571047
2016-07-11,0.006671,0.006690,0.006530,0.006534,0.006534,722627
2016-07-12,0.006534,0.006593,0.006350,0.006350,0.006350,977958
2016-07-13,0.006350,0.006437,0.006350,0.006411,0.006411,942245
2016-07-14,0.006408,0.006425,0.006377,0.006385,0.006385,682894
2016-07-15,0.006388,0.006452,0.006388,0.006442,0.006442,753167
2016-07-16,0.006442,0.006572,0.006440,0.006572,0.006572,659904
2016-07-17,0.006571,0.006591,0.006516,0.006538,0.006538,529265
2016-07-18,0.006538,0.006540,0.006481,0.006482,0.006482,442793
2016-07-19,0.006479,0.006485,0.006397,0.006405,0.006405,550843
2016-07-20,0.006404,0.006422,0.006380,0.006395,0.006395,790117
2016-07-21,0.006390,0.006564,0.006374,0.006416,0.006416,811193
2016-07-22,0.006417,0.006423,0.006303,0.006303,0.006303,780192
